Ambient_Temp_C,Ambient_Hum_Percent,Light_Intensity_lx,Soil_Moisture_Percent,Soil_pH,Pechay_Count,Days_to_Germinate
22.24024536,55.2919038950888,556.1728051,27.52110877,5.5819545162659,22,4.9
21.70676328,63.9491805117358,596.1367212,14.83556615,7.13570490630949,18,6.5
21.18094556,67.8379564876508,591.1246268,17.08636197,5.65685224936653,18,6.6
22.59330194,58.1908110056612,241.4124764,15.33615608,5.58452268658626,19,6.7
28.92900106,63.7720357682183,444.4938296,39.82221603,5.91970687576561,20,5.8
24.36420869,46.3928114520983,496.2330398,29.20836482,6.15793072822264,26,3.2
23.02289496,56.9062117918392,454.6392144,16.35140945,7.07557001562539,19,6.0
20.19918572,56.3262169649808,455.6989746,33.30769696,6.10503890417336,21,5.3
25.46764547,47.5441746641832,635.0570337,12.72272609,6.48787187658213,20,5.2
27.63668533,65.6157685361776,393.2477805,13.24464144,5.58011709656476,19,6.8
25.9306236,56.8243420203079,482.2509998,24.99896013,5.6642456764936,22,4.3
23.99464808,58.5313277271459,763.5381969,31.60661098,6.27860936191599,26,3.1
19.00049156,57.754135293013,436.3746794,23.52604561,7.32347297539642,17,6.6
19.73966999,47.5084602789496,724.1481607,21.53529606,6.73849415853909,20,5.8
26.49079136,45.8797990501103,561.1187449,23.78048858,5.83217931442832,22,4.6
27.29581421,52.066439449696,515.1991468,28.12275834,5.93942093067356,25,4.1
19.26392676,45.2142085177127,800.7266096,22.28116693,6.06529584895228,18,6.3
23.63405835,40.8378453667751,423.1442155,15.20503814,6.1517614045302,20,5.8
29.39285652,61.6702833932342,203.4998926,39.2429306,6.00114162149218,19,5.8
22.37344683,40.6737463759676,39 5.188528,35.32985582,6.01984060437429,24,4.8
28.41618165,63.699186991108,735.6818314,37.39698436,6.14984666925698,21,5.2
20.53086817,47.2558251060504,472.7790052,37.7451699,6.24270017143747,21,5.7
29.19280263,62.828874061156,427.2720751,32.70184017,6.45299585500504,24,4.3
24.28970893,50.5619013438818,319.4868231,39.44635404,6.96169614759781,23,4.4
25.55026655,63.6789089646152,867.7026545,39.56736709,5.94676030838083,23,4.4
24.80921095,42.0189023866628,923.2339881,29.54570107,6.60215833318811,27,2.8
26.28278385,40.2598423358383,677.0739746,15.49995908,6.19553341435713,20,5.5
19.02963705,44.4687263184109,339.8834703,33.15648147,5.7889042999091,19,6.3
25.18298598,63.9266914622515,524.9309827,30.79192054,5.98321768807803,28,2.8
21.95147498,42.4098101037432,508.2548632,13.9091687,6.242033717476,20,6.5
18.89191428,59.9900341811836,867.1298682,19.06898516,5.91943584322526,16,6.9
